id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_years,days_since_last_review,listing_age_years,n_amenities,amenity_wifi,amenity_kitchen,amenity_parking,amenity_heating,amenity_ac,amenity_tv,amenity_washer,amenity_dryer,amenity_dishwasher,amenity_free_street_parking,amenity_private_entrance,amenity_dedicated_workspace,amenity_self_checkin,amenity_pets_allowed,amenity_bathtub,price
1126936106349467555,130680380,2017-05-17,,within an hour,89.0,94.0,False,Somerville,19.0,49.0,True,True,North End,42.36469,-71.05528,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""Toaster"", ""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Private entrance"", ""Iron"", ""Free washer \u2013 In building"", ""Carbon monoxide alarm"", ""Baking sheet"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Freezer"", ""Dining table"", ""Free dryer \u2013 In building"", ""Paid parking off premises"", ""Shampoo"", ""TV"", ""Keypad"", ""Clothing storage"", ""Hangers"", ""Hot water kettle"", ""Wine glasses"", ""Cleaning products"", ""Window AC unit"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Bed linens"", ""Oven"", ""Shower gel"", ""Kitchen"", ""Microwave"", ""Stove"", ""Self check-in"", ""Cleaning available during stay"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker"", ""Hot water""]",3,365,1.0,5.0,365.0,365.0,2.3,365.0,True,4,21,43,237,54,38,2,53,27,228,2024-04-14,2025-08-28,4.83,4.89,4.74,4.94,4.7,4.96,4.76,False,14,12,2,0,3.07,8.544832306639288,96.0,1.6344969199178645,39,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,285.0
24261049,50017024,2015-11-27,"Boston, MA",within an hour,100.0,100.0,True,Dorchester,2.0,2.0,True,True,Mattapan,42.27467,-71.07362,Entire home,Entire home/apt,6,2.0,3.0,4.0,"[""Children\u2019s dinnerware"", ""Heating"", ""Smoke alarm"", ""Private entrance"", ""Iron"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Patio or balcony"", ""Smart lock"", ""Portable air conditioning"", ""TV"", ""Hangers"", ""Clothing storage: walk-in closet and closet"", ""BBQ grill: gas"", ""Cleaning products"", ""Window AC unit"", ""Wifi"", ""Washer"", ""Extra pillows and blankets"", ""Bed linens"", ""Dryer"", ""Kitchen"", ""Bathtub"", ""Indoor fireplace"", ""Self check-in"", ""Fire extinguisher"", ""Free parking on premises"", ""Coffee maker"", ""Central air conditioning"", ""Dishes and silverware"", ""Hot water""]",29,1125,29.0,29.0,3.0,1125.0,29.0,807.2,True,7,32,57,316,40,0,0,60,0,0,2022-01-02,2023-11-24,4.88,4.95,4.93,4.9,4.9,4.58,4.8,True,1,1,0,0,0.88,10.015058179329229,739.0,3.915126625598905,37,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,250.0
39700598,299340250,2019-10-01,"Boston, MA",within an hour,100.0,85.0,True,Roxbury,8.0,12.0,True,True,Roxbury,42.3225,-71.06851,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Toaster"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""First aid kit"", ""Host greets you"", ""Exterior security cameras on property"", ""Private living room"", ""Cooking basics"", ""Refrigerator"", ""Essentials"", ""Laundromat nearby"", ""Freezer"", ""Dining table"", ""Hot water kettle"", ""Hangers"", ""Wine glasses"", ""Free street parking"", ""Cleaning products"", ""Books and reading material"", ""Window AC unit"", ""Rice maker"", ""Gas stove"", ""Wifi"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Bed linens"", ""Oven"", ""Paid dryer \u2013 In building"", ""Central heating"", ""Shared patio or balcony"", ""Kitchen"", ""Microwave"", ""Bathtub"", ""Clothing storage: closet"", ""Fire extinguisher"", ""32 inch HDTV with Amazon Prime Video, Chromecast, Disney+, HBO Max, Hulu, Netflix, Roku"", ""Lock on bedroom door"", ""Shared backyard \u2013 Fully fenced"", ""Paid washer \u2013 In building"", ""Cleaning available during stay"", ""Dishes and silverware"", ""Room-darkening shades"", ""Coffee maker: drip coffee maker"", ""Hot water""]",29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,True,0,0,7,282,15,4,1,17,1,232,2021-06-18,2025-08-31,5.0,4.87,4.87,5.0,4.93,4.27,4.73,False,5,0,5,0,0.29,6.1711156741957565,93.0,4.457221081451061,47,True,True,True,True,False,True,True,True,False,True,False,True,False,False,True,58.0
1339323501240670760,15154687,2014-05-05,"Massachusetts, United States",within an hour,100.0,100.0,False,Wellington-Harrington,55.0,56.0,True,True,Allston,42.35939,-71.13044,Private room in home,Private room,2,1.0,1.0,2.0,"[""Refrigerator"", ""Essentials"", ""Microwave"", ""Bathtub"", ""Heating"", ""Wifi"", ""Self check-in"", ""Smoke alarm"", ""Pets allowed"", ""Shampoo"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dedicated workspace"", ""Keypad"", ""Bed linens"", ""Exterior security cameras on property"", ""Hot water""]",1,365,1.0,1.0,1125.0,1125.0,1.0,1125.0,True,0,0,0,0,4,4,3,0,0,24,2025-06-10,2025-09-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,17,0,17,0,1.12,11.578370978781656,81.0,0.4791238877481177,17,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True,102.0
1403245366171186508,473301884,2022-08-04,,within an hour,100.0,100.0,,Dorchester,12.0,18.0,True,False,Dorchester,42.31448490899815,-71.05817219161273,Entire rental unit,Entire home/apt,16,2.0,5.0,9.0,"[""Toaster"", ""Heating"", ""Dishwasher"", ""Smoke alarm"", ""Private entrance"", ""Iron"", ""Carbon monoxide alarm"", ""First aid kit"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Laundromat nearby"", ""Dining table"", ""Pets allowed"", ""Shampoo"", ""TV"", ""Keypad"", ""Clothing storage"", ""Hangers"", ""Wine glasses"", ""Coffee"", ""Noise decibel monitors on property"", ""Cleaning products"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Bed linens"", ""Oven"", ""Crib"", ""Dryer"", ""Shower gel"", ""Kitchen"", ""Microwave"", ""Stove"", ""Conditioner"", ""Coffee maker: Keurig coffee machine"", ""Self check-in"", ""Outdoor furniture"", ""Free parking on premises"", ""Trash compactor"", ""Dishes and silverware"", ""Board games"", ""Free street parking"", ""Hot water""]",2,365,1.0,4.0,365.0,365.0,2.0,365.0,True,12,35,60,298,17,17,6,61,0,102,2025-05-09,2025-09-21,4.88,4.82,5.0,4.82,5.0,4.76,4.88,False,9,9,0,0,3.7,3.3292265571526354,72.0,0.5667351129363449,50,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,574.0
25324358,20672298,2014-08-29,"Boston, MA",within a day,50.0,0.0,False,Hyde Park,1.0,2.0,True,True,Hyde Park,42.26493,-71.12262,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Hair dryer"", ""Essentials"", ""Heating"", ""Wifi"", ""Fire extinguisher"", ""Smoke alarm"", ""Free parking on premises"", ""Iron"", ""Air conditioning"", ""Lock on bedroom door"", ""TV with standard cable"", ""Hangers"", ""Carbon monoxide alarm"", ""Host greets you"", ""Dishes and silverware"", ""Free street parking"", ""Kitchen""]",91,181,91.0,91.0,1125.0,1125.0,91.0,1125.0,True,30,60,90,269,8,0,0,99,0,0,2018-06-16,2019-03-05,5.0,4.88,4.75,5.0,5.0,5.0,4.88,True,1,0,1,0,0.09,11.260780287474333,2464.0,7.4633812457221085,17,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,37.0
950079027718724538,163848078,2017-12-23,"Boston, MA",within an hour,87.0,76.0,False,East Cambridge,102.0,193.0,True,True,Brighton,42.35899,-71.14921,Entire rental unit,Entire home/apt,6,2.0,2.0,5.0,"[""Hair dryer"", ""Heating"", ""Wifi"", ""Washer"", ""Smoke alarm"", ""BBQ grill"", ""Pets allowed"", ""Iron"", ""TV"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cooking basics"", ""Exercise equipment"", ""Pool table"", ""Kitchen""]",29,365,29.0,29.0,365.0,365.0,29.0,365.0,True,29,59,89,364,0,0,0,99,0,0,,,,,,,,,,False,72,72,0,0,,7.942505133470226,,,16,True,True,False,True,True,True,True,True,False,False,False,True,False,True,False,399.0
1350006408487336585,533234561,2023-08-22,"New York, NY",within a few hours,98.0,50.0,False,Northwest Washington,602.0,1413.0,True,True,Allston,42.36121502110094,-71.12596561223711,Private room in rental unit,Private room,1,0.0,6.0,1.0,"[""Microwave"", ""Heating"", ""Wifi"", ""Dishwasher"", ""Self check-in"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""TV"", ""Dedicated workspace"", ""Cooking basics"", ""Lockbox"", ""Oven"", ""Dryer"", ""Dishes and silverware"", ""Hot water""]",91,365,91.0,91.0,365.0,365.0,91.0,365.0,True,0,22,52,114,0,0,0,62,0,0,,,,,,,,,,False,51,4,47,0,,2.2806297056810405,,,16,True,False,False,True,False,True,True,True,True,False,False,True,True,False,False,45.0
1121634582746168278,40995423,2015-08-09,"Quincy, MA",within an hour,100.0,58.0,False,Newton Highlands,21.0,29.0,True,True,Dorchester,42.32128,-71.05731,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Toaster"", ""Kitchenette"", ""Smoke alarm"", ""Iron"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Hair dryer"", ""Laundromat nearby"", ""TV"", ""Hot water kettle"", ""Hangers"", ""Mini fridge"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Central heating"", ""AC - split type ductless system"", ""Microwave"", ""Paid washer \u2013 In building"", ""Hot water""]",31,365,31.0,31.0,365.0,365.0,31.0,365.0,True,30,60,90,365,0,0,0,99,0,0,,,,,,,,,,False,9,9,0,0,,10.316221765913758,,,20,True,True,False,True,False,True,True,True,False,False,False,True,False,False,False,93.0
1044095169626587772,107434423,2016-12-16,"New York, NY",within an hour,100.0,96.0,False,Cambridge,5084.0,5865.0,True,True,Fenway,42.34475459999999,-71.09589319999999,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Heating"", ""Smoke alarm"", ""Private entrance"", ""Elevator"", ""Iron"", ""Carbon monoxide alarm"", ""High chair"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Cooking basics"", ""Lockbox"", ""Pets allowed"", ""Shampoo"", ""TV"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Air conditioning"", ""Bed linens"", ""Crib"", ""Kitchen"", ""Microwave"", ""Self check-in"", ""BBQ grill"", ""Gym"", ""Coffee maker"", ""Hot water""]",32,1125,30.0,334.0,1125.0,1125.0,38.3,1125.0,True,0,0,0,126,0,0,0,0,0,0,,,,,,,,,,True,343,343,0,0,,8.960985626283367,,,28,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,244.0
